WEST BOUNTIFUL,WEB
WELLINGTON,WEL
WENDOVER,WEN
WHITE CITY METRO TOWNSHIP,WHT
WEST HAVEN,WHV
WILLARD CITY,WIL
WEST JORDAN CITY,WJC
WELLSVILLE,WLV
WEST POINT,WPT
WEST VALLEY CITY,WVC
WOODS CROSS CITY,WXC
CEDAR HIGHLANDS,XXX
