fakeid,GEOID,AFK_h,ALA_h,ALP_h,BDL_h,BGM_h,BNT_h,BRT_h,CDF_h,CEN_h,CHA_h,CHL_h,CLF_h,CLI_h,CMT_h,COA_h,CWH_h,DAN_h,DRA_h,EAG_h,ELK_h,EMT_h,FAR_h,FCS_h,FFD_h,FRR_h,FTH_h,GLA_h,GOS_h,GRL_h,HAR_h,HDT_h,HEB_h,HER_h,HGH_h,HNF_h,HOL_h,HOO_h,HVL_h,IND_h,INT_h,KAY_h,KMS_h,KMT_h,LAY_h,LEH_h,LIN_h,MAP_h,MID_h,MLC_h,MMT_h,MRG_h,MSL_h,MUR_h,MWY_h,NOG_h,NSL_h,OGD_h,OKL_h,ORM_h,PAY_h,PGR_h,PLN_h,PRK_h,PRY_h,PVO_h,PVW_h,ROY_h,RVD_h,RVT_h,SAN_h,SAQ_h,SAR_h,SFK_h,SJC_h,SLC_h,SLM_h,SOG_h,SPV_h,SSL_h,SUN_h,SWE_h,SYR_h,TAY_h,TOO_h,UIN_h,VIN_h,WAT_h,WBG_h,WDL_h,WEB_h,WHT_h,WHV_h,WIL_h,WJC_h,WPT_h,WVC_h,WXC_h,TTL_h,AFK_w,ALA_w,ALP_w,BDL_w,BGM_w,BNT_w,BRT_w,CDF_w,CEN_w,CHA_w,CHL_w,CLF_w,CLI_w,CMT_w,COA_w,CWH_w,DAN_w,DRA_w,EAG_w,ELK_w,EMT_w,FAR_w,FCS_w,FFD_w,FRR_w,FTH_w,GLA_w,GOS_w,GRL_w,HAR_w,HDT_w,HEB_w,HER_w,HGH_w,HNF_w,HOL_w,HOO_w,HVL_w,IND_w,INT_w,KAY_w,KMS_w,KMT_w,LAY_w,LEH_w,LIN_w,MAP_w,MID_w,MLC_w,MMT_w,MRG_w,MSL_w,MUR_w,MWY_w,NOG_w,NSL_w,OGD_w,OKL_w,ORM_w,PAY_w,PGR_w,PLN_w,PRK_w,PRY_w,PVO_w,PVW_w,ROY_w,RVD_w,RVT_w,SAN_w,SAQ_w,SAR_w,SFK_w,SJC_w,SLC_w,SLM_w,SOG_w,SPV_w,SSL_w,SUN_w,SWE_w,SYR_w,TAY_w,TOO_w,UIN_w,VIN_w,WAT_w,WBG_w,WDL_w,WEB_w,WHT_w,WHV_w,WIL_w,WJC_w,WPT_w,WVC_w,WXC_w,TTL_w
0,colSUM,13308,192,4756,7055,9998,20872,78,331,7813,275,4619,13965,10462,527,835,17328,676,23198,15452,1793,810,9530,527,97,3255,2343,878,511,5694,3173,371,8523,19083,8239,395,15018,3808,297,129,36,13013,1066,18859,33067,31334,5021,4987,17827,31673,15078,2009,1017,25719,2401,9189,9059,40029,627,45937,9681,16816,3281,4309,2791,38999,4532,19050,4077,24297,49027,5665,15548,20601,33697,97081,4087,7864,17022,12593,2675,3236,12640,31886,17588,654,148,4601,171,965,3415,3033,6085,1082,60669,4956,64407,5343,1453194,22809,1837,2561,4476,9084,11941,81,58,5780,202,876,17025,2622,90,763,20781,225,40008,2335,285,92,8783,74,95,3252,394,208,67,2330,1702,9,6161,4841,3149,57,10926,634,94,12,0,8417,1306,4217,27627,36568,13157,2123,18411,47903,2904,1299,1742,46706,1382,2956,14921,58666,265,48058,5821,12022,816,14004,946,57327,2230,7602,7992,10780,49686,1041,3793,13179,31999,246987,1891,6994,13087,33211,1092,791,4176,21228,8016,253,1084,3299,51,173,2145,349,3634,182,35071,1137,68881,5356,1452654
0,490011001001,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,2,0,0,0,0,1,0,0,0,2,0,6,1,0,0,1,0,4,0,0,0,1,2,0,0,1,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,350,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,0,0,0,1,1,0,1,0,3,0,0,0,1,1,0,0,1,0,6,1,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,250
1,490011001002,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,297,2,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,1,1,0,0,4,0,0,0,4,0,0,1,1,0,2,0,0,0,1,0,3,0,1,1,1,3,1,0,0,2,20,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,6,0,536
2,490011001003,1,0,1,1,1,2,0,0,1,0,1,1,2,0,0,2,0,4,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,3,1,1,1,2,2,2,1,0,5,0,2,0,4,0,6,1,3,1,1,0,0,1,4,1,3,4,0,1,3,4,8,1,0,2,2,0,0,1,4,1,0,0,0,0,1,1,1,1,2,8,1,3,2,882,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,4,0,0,0,5,0,0,3,3,0,2,0,2,0,0,0,1,1,0,1,0,4,0,0,0,0,19,0,0,2,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,8,1,493
3,490011002001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,288,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,194
4,490011002002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,2,0,0,2,1,10,0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,336
5,490011002003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,2,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,6,0,709,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,1,0,0,3,0,0,0,4,0,3,1,0,0,0,0,5,0,1,2,0,2,0,0,1,1,16,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,492
6,490039601001,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1,0,4,0,1,1,2,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,3,0,0,1,0,0,0,0,2,0,1,1,3,0,133,2,1,0,0,37,2,0,0,0,0,0,10,1,0,0,1,0,2,0,0,0,2,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,3,4,1,0,5,1,0,0,0,7,0,0,0,22,0,5,2,2,1,0,1,2,0,2,3,3,4,0,0,1,1,24,0,2,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,1,11,1,393
7,490039601002,1,0,0,0,41,1,0,0,0,0,0,4,5,0,0,1,0,3,1,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,2,0,0,0,1,0,0,14,0,0,0,0,1,1,1,0,1,0,5,0,12,0,0,0,0,1,0,7,2,6,5,3,3,1,0,1,2,4,7,0,4,0,1,0,0,4,0,1,0,0,2,0,0,0,0,1,3,3,1,1,0,641,1,0,0,0,65,1,0,0,2,0,0,16,3,0,0,0,0,6,0,0,0,2,0,0,3,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,3,0,3,14,3,1,0,5,2,0,0,2,13,0,0,0,63,0,5,0,1,4,0,5,6,2,4,5,0,4,0,0,1,5,56,0,2,5,3,0,0,1,3,0,0,0,0,0,0,1,0,1,0,5,1,14,1,674
8,490039601003,0,0,0,0,7,1,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,1,0,1,1,3,2,1,0,1,0,1,1,0,3,0,2,1,0,0,0,1,1,4,0,0,0,0,0,0,0,1,2,2,0,3,0,157,0,0,0,0,29,2,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,6,2,0,0,0,1,0,0,0,6,0,0,2,23,0,4,0,0,0,0,2,3,0,2,1,0,4,0,0,1,2,18,0,0,2,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,5,0,1,1,262
9,490039602001,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,1,0,0,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,155,2,1,0,0,82,4,0,0,1,0,0,21,3,0,0,1,0,5,0,0,0,1,0,0,3,0,0,0,1,2,0,3,0,1,0,1,0,0,0,0,3,0,0,15,1,2,0,2,5,0,0,3,16,0,1,4,48,0,4,0,4,3,2,9,9,2,4,3,1,4,0,0,1,4,50,1,2,4,2,0,0,1,4,2,1,0,1,0,0,1,0,4,1,4,1,19,0,776
10,490039602002,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,78,2,0,0,0,55,1,0,0,0,0,0,13,0,0,0,1,0,5,1,0,0,0,0,0,3,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,10,2,0,0,2,1,0,0,1,6,0,0,2,15,0,6,0,1,0,0,5,2,1,6,2,1,10,0,0,2,5,24,0,2,0,2,0,0,0,2,0,1,0,4,0,0,0,0,1,1,4,0,9,1,460
11,490039602003,0,0,0,0,80,1,0,0,1,0,0,3,2,0,0,2,0,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,2,1,0,1,1,0,0,0,2,0,3,8,0,0,0,0,2,0,0,0,0,0,3,2,26,0,0,0,0,4,0,11,0,9,10,2,3,1,0,0,1,0,3,0,1,0,1,1,1,2,1,6,0,0,2,0,0,0,0,2,3,3,0,1,0,706,4,1,0,1,97,1,0,0,2,0,1,20,2,0,0,3,0,3,1,0,0,4,0,0,7,0,0,0,0,0,0,2,0,0,0,3,3,0,0,0,2,0,1,15,2,1,0,2,0,0,1,2,19,0,3,7,74,0,8,2,1,0,1,11,4,9,8,6,0,4,0,0,1,6,47,0,4,1,3,0,2,3,6,2,0,1,3,0,0,1,1,11,0,11,0,22,6,926
12,490039602004,0,0,0,0,67,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,1,1,1,0,0,0,0,2,0,11,0,0,0,0,1,0,8,1,1,3,0,0,0,0,0,1,1,1,1,1,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,1,3,0,0,406,6,1,0,0,64,3,0,0,1,0,0,9,3,0,0,2,0,2,1,0,0,1,0,0,3,0,0,0,0,2,0,0,0,2,0,1,1,0,0,0,5,0,1,7,1,1,0,2,4,2,0,3,7,0,3,6,47,0,6,2,1,1,0,4,4,2,2,1,2,8,0,0,0,5,24,1,4,1,3,0,0,1,2,2,0,1,1,0,0,2,0,1,0,6,0,15,2,634
13,490039602005,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,0,1,0,5,1,0,6,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,112,5,0,1,2,45,0,0,0,0,0,0,6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,0,0,3,0,0,3,1,2,0,0,2,0,1,1,5,0,3,0,25,0,2,0,0,1,0,0,4,0,1,3,1,2,0,0,1,1,19,0,2,1,2,1,1,1,3,0,0,0,2,0,0,0,0,2,1,1,0,5,0,341
14,490039602006,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,116,0,0,0,0,52,2,0,0,0,0,1,6,1,0,0,3,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,2,0,0,4,0,2,0,0,2,0,0,0,10,0,0,1,21,0,5,0,1,0,0,2,6,2,3,3,1,1,0,0,0,1,16,0,3,0,1,0,0,0,4,1,0,0,0,0,0,0,0,1,0,3,0,7,0,350
15,490039603011,0,0,0,0,11,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,1,2,0,2,0,0,1,0,1,1,1,1,0,2,2,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,223,3,0,0,1,80,0,0,0,1,0,0,16,2,0,0,2,0,2,1,0,0,2,0,0,2,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,2,0,0,9,3,4,0,2,7,0,0,2,6,0,0,3,35,0,5,0,2,0,1,6,5,4,9,2,4,4,0,0,1,4,33,0,6,2,2,1,1,0,2,2,0,1,3,0,0,0,0,2,0,5,0,15,1,702
16,490039603012,0,0,0,0,23,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,2,1,5,0,1,1,0,1,0,7,3,0,2,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,352,4,0,0,0,42,2,0,0,0,1,1,11,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,1,0,1,2,0,0,2,4,0,0,0,32,0,5,0,2,1,0,1,6,0,4,2,0,1,0,1,1,1,15,0,2,2,2,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,9,1,383
17,490039603013,1,0,0,0,29,1,0,0,0,0,0,1,1,0,0,2,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,2,0,0,0,1,0,1,0,2,2,3,10,0,2,0,0,1,0,8,3,1,2,0,0,3,0,0,1,3,0,0,2,1,0,0,1,2,4,1,0,0,0,0,0,0,0,0,0,2,1,2,1,470,4,0,0,0,63,5,0,0,1,0,0,6,2,0,0,1,1,3,0,0,0,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,1,4,3,3,1,3,5,0,0,2,8,1,0,1,34,0,4,1,1,0,0,3,5,1,3,4,0,1,0,0,3,1,14,0,0,0,2,0,0,1,2,4,0,0,1,1,0,0,0,1,0,3,1,9,2,472
18,490039603014,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,176,3,0,0,1,58,1,0,0,0,0,1,13,2,0,0,1,0,1,1,0,0,4,0,0,3,1,0,0,0,1,0,3,0,1,0,0,0,0,0,0,2,0,0,12,0,0,0,0,4,0,0,4,4,0,0,2,39,0,3,1,0,3,1,2,2,4,2,2,2,4,0,0,1,1,20,0,4,0,0,0,0,0,3,2,0,0,1,0,0,0,0,2,2,1,0,16,1,559
