w_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,createdate
490011001001179,3,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,20211018
490011001001282,12,4,6,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,10,0,0,2,0,0,9,3,3,1,1,3,7,5,0,0,0,0,0,0,0,0,0,0,20211018
490011001001283,98,36,41,21,40,52,6,0,0,0,0,0,0,36,0,0,0,0,0,5,0,0,0,0,57,0,0,89,1,6,0,0,2,86,12,8,20,25,9,53,45,0,0,0,0,0,0,0,0,0,0,20211018
490011001001295,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,20211018
490011001001362,18,1,7,10,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,15,0,0,2,0,1,13,5,4,2,4,7,9,9,0,0,0,0,0,0,0,0,0,0,20211018
490011001001399,95,12,63,20,8,16,71,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,86,92,0,1,0,2,0,95,0,3,25,31,24,62,33,0,0,0,0,0,0,0,0,0,0,20211018
490011001001408,38,13,17,8,16,14,8,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,10,0,0,35,1,2,0,0,0,32,6,1,9,11,4,18,20,0,0,0,0,0,0,0,0,0,0,20211018
490011001001409,26,7,10,9,20,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,6,0,24,1,1,0,0,0,23,3,3,4,6,6,10,16,0,0,0,0,0,0,0,0,0,0,20211018
490011001001410,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20211018
490011001001411,2,0,2,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20211018
490011001001524,63,30,18,15,56,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,57,0,1,3,0,2,60,3,7,9,9,8,38,25,0,0,0,0,0,0,0,0,0,0,20211018
490011001001686,2,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20211018
490011001001698,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20211018
490011001001701,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20211018
490011001001706,13,1,9,3,3,5,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,9,4,1,6,1,4,10,3,0,0,0,0,0,0,0,0,0,0,20211018
490011001001714,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,20211018
490011001002004,5,0,5,0,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,4,1,0,4,1,0,3,2,0,0,0,0,0,0,0,0,0,0,20211018
490011001002007,22,4,10,8,9,13,0,0,0,0,0,0,0,15,0,0,0,0,7,0,0,0,0,0,0,0,0,22,0,0,0,0,0,21,1,0,6,9,3,13,9,0,0,0,0,0,0,0,0,0,0,20211018
490011001002008,24,3,12,9,13,1,10,0,0,0,9,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,24,0,0,0,0,0,24,0,2,12,5,2,17,7,0,0,0,0,0,0,0,0,0,0,20211018
490011001002016,11,4,4,3,3,7,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,3,0,0,11,0,0,2,3,2,5,6,0,0,0,0,0,0,0,0,0,0,20211018
490011001002017,51,13,34,4,34,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,48,0,1,0,0,2,48,3,3,11,17,7,10,41,0,0,0,0,0,0,0,0,0,0,20211018
490011001002022,4,0,4,0,0,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20211018
490011001002027,79,37,23,19,50,23,6,0,0,0,0,0,0,53,0,0,2,0,0,0,0,0,0,0,24,0,0,78,1,0,0,0,0,70,9,8,11,19,4,19,60,0,0,0,0,0,0,0,0,0,0,20211018
490011001002029,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20211018
490011001002036,10,2,5,3,2,5,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,2,3,3,9,1,0,0,0,0,0,0,0,0,0,0,20211018
490011001002039,3,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,20211018
490011001002052,2,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20211018
490011001002053,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,20211018
490011001002068,19,4,9,6,0,10,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,1,0,0,11,8,3,6,4,2,12,7,0,0,0,0,0,0,0,0,0,0,20211018
490011001002072,23,3,17,3,1,12,10,0,0,0,21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,21,1,0,1,0,0,18,5,5,4,6,5,20,3,0,0,0,0,0,0,0,0,0,0,20211018
490011001002078,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,20211018
490011001002079,3,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,1,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,20211018
490011001002102,12,0,8,4,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,12,0,0,0,0,0,11,1,2,2,5,3,4,8,0,0,0,0,0,0,0,0,0,0,20211018
490011001002103,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,20211018
490011001002105,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20211018
