tract,fakeid,AFK_x,ALA_x,ALP_x,BDL_x,BDL_x.1,BGM_x,BNT_x,BRT_x,CDF_x,CEN_x,CHA_x,CHL_x,CLF_x,CLI_x,CMT_x,COA_x,CWH_x,DAN_x,DRA_x,DRA_x.1,EAG_x,ELK_x,EMT_x,FAR_x,FCS_x,FFD_x,FRR_x,FTH_x,GLA_x,GOS_x,GRL_x,HAR_x,HDT_x,HDT_x.1,HEB_x,HER_x,HGH_x,HNF_x,HOL_x,HOO_x,HVL_x,IND_x,INT_x,KAY_x,KMS_x,KMT_x,LAY_x,LEH_x,LIN_x,MAP_x,MID_x,MLC_x,MMT_x,MRG_x,MSL_x,MUR_x,MWY_x,NOG_x,NSL_x,OGD_x,OKL_x,ORM_x,PAY_x,PGR_x,PLN_x,PRK_x,PRK_x.1,PRY_x,PVO_x,PVW_x,ROY_x,RVD_x,RVT_x,SAN_x,SAQ_x,SAR_x,SFK_x,SJC_x,SLC_x,SLM_x,SOG_x,SPV_x,SSL_x,SUN_x,SWE_x,SYR_x,TAY_x,TOO_x,UIN_x,VIN_x,WAT_x,WBG_x,WDL_x,WEB_x,WHT_x,WHV_x,WIL_x,WJC_x,WPT_x,WVC_x,WXC_x,TTL_x,AFK_y,ALA_y,ALP_y,BDL_y,BDL_y.1,BGM_y,BNT_y,BRT_y,CDF_y,CEN_y,CHA_y,CHL_y,CLF_y,CLI_y,CMT_y,COA_y,CWH_y,DAN_y,DRA_y,DRA_y.1,EAG_y,ELK_y,EMT_y,FAR_y,FCS_y,FFD_y,FRR_y,FTH_y,GLA_y,GOS_y,GRL_y,HAR_y,HDT_y,HDT_y.1,HEB_y,HER_y,HGH_y,HNF_y,HOL_y,HOO_y,HVL_y,IND_y,INT_y,KAY_y,KMS_y,KMT_y,LAY_y,LEH_y,LIN_y,MAP_y,MID_y,MLC_y,MMT_y,MRG_y,MSL_y,MUR_y,MWY_y,NOG_y,NSL_y,OGD_y,OKL_y,ORM_y,PAY_y,PGR_y,PLN_y,PRK_y,PRK_y.1,PRY_y,PVO_y,PVW_y,ROY_y,RVD_y,RVT_y,SAN_y,SAQ_y,SAR_y,SFK_y,SJC_y,SLC_y,SLM_y,SOG_y,SPV_y,SSL_y,SUN_y,SWE_y,SYR_y,TAY_y,TOO_y,UIN_y,VIN_y,WAT_y,WBG_y,WDL_y,WEB_y,WHT_y,WHV_y,WIL_y,WJC_y,WPT_y,WVC_y,WXC_y,TTL_y
49003960701,114,2,0,1,0,0,529,3,0,0,0,0,1,7,4,0,1,3,0,3,3,0,0,0,1,0,0,4,3,1,0,0,7,0,0,0,1,1,1,2,7,0,0,0,7,0,6,16,6,0,1,1,0,1,2,2,4,0,33,2,55,0,9,0,1,8,0,0,132,3,33,16,8,1,7,1,1,4,2,8,2,15,1,1,2,0,4,3,9,2,0,6,0,0,1,0,9,27,6,5,7,3,1621,12,0,1,1,1,782,16,0,0,8,0,0,53,11,0,2,10,0,21,21,2,0,1,13,0,0,24,0,0,0,1,10,0,0,2,2,5,0,0,0,0,0,0,9,1,1,48,13,6,1,9,23,1,2,10,38,0,24,25,345,0,34,8,6,4,4,4,64,35,11,29,34,5,28,1,2,11,19,152,2,24,11,22,2,4,4,27,5,1,0,7,0,0,3,1,27,4,30,6,57,6,2720
49003960702,81,1,0,0,0,0,179,2,0,0,0,0,1,1,3,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,1,0,5,0,0,0,1,1,0,2,3,0,0,0,1,0,0,6,0,1,0,0,1,0,0,1,2,0,15,1,24,1,1,0,1,2,0,0,43,3,4,6,7,3,5,0,0,2,2,5,0,9,1,1,0,0,3,1,1,0,0,2,0,0,0,0,2,5,2,1,2,1,540,5,0,1,1,1,370,10,0,0,4,0,0,29,1,0,0,5,0,10,10,0,0,0,3,0,0,16,0,0,0,3,3,0,0,2,1,0,0,7,0,0,0,0,6,4,0,40,7,4,1,7,8,2,1,4,13,0,11,18,151,0,15,1,2,3,2,2,43,14,6,23,26,8,17,0,1,7,11,75,0,7,2,10,0,0,6,3,6,1,0,7,0,0,1,1,2,3,32,6,47,2,1395
49003960801,129,1,0,0,0,0,60,3,0,0,2,0,1,5,3,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,8,0,0,3,0,1,0,0,5,0,0,0,3,0,0,8,1,0,0,0,0,1,0,5,0,0,8,0,54,0,1,1,0,4,0,0,13,2,5,13,2,1,3,1,1,0,2,3,0,2,1,0,0,2,2,1,3,0,0,3,0,0,1,0,5,53,1,3,1,0,465,10,0,0,1,1,287,14,0,0,9,0,0,49,6,0,0,9,0,25,25,3,0,0,16,0,0,44,1,0,0,1,15,0,0,4,2,2,0,5,3,0,0,0,29,2,0,69,8,6,0,10,19,2,4,14,36,2,26,27,430,0,44,4,4,10,2,2,64,27,27,41,28,5,56,1,0,3,17,163,1,27,6,29,3,3,9,18,7,2,3,18,0,0,3,1,19,47,31,3,59,10,2425
49003960802,138,5,0,0,2,2,342,9,0,0,1,0,2,10,2,0,0,2,0,1,1,2,0,0,1,0,0,7,1,0,0,3,17,2,2,0,0,1,0,3,7,1,0,0,6,0,3,21,4,1,1,4,5,2,1,0,2,0,31,0,64,1,10,2,6,6,4,4,203,5,17,25,4,4,6,0,3,3,3,6,0,9,6,1,4,2,6,6,13,1,0,4,0,0,1,0,13,36,7,6,6,0,1330,10,0,0,2,2,582,12,0,0,7,0,0,60,3,0,0,14,0,17,17,0,0,0,10,0,0,22,0,0,0,1,17,0,0,6,1,3,0,11,2,0,0,0,15,0,5,67,17,5,2,12,23,2,0,12,37,0,24,9,351,1,26,5,2,9,5,5,146,34,17,41,24,6,26,1,0,9,6,190,1,27,11,19,4,0,8,13,9,0,1,16,0,0,1,0,22,4,20,2,77,13,2573
49005000101,147,1,0,0,1,1,8,3,0,0,2,0,2,2,1,0,0,0,0,3,3,0,0,0,3,0,0,1,1,0,0,0,1,0,0,1,1,2,0,3,0,0,0,0,4,0,1,5,1,0,0,2,2,0,0,0,1,1,0,0,3,1,5,0,1,0,1,1,1,5,2,3,1,7,5,0,0,0,1,7,0,2,4,1,0,2,1,4,7,1,0,0,0,0,1,0,1,0,3,1,5,2,1566,15,0,0,1,1,35,5,0,0,8,0,0,7,2,0,0,3,0,12,12,0,0,0,4,0,0,1,0,0,0,0,3,0,0,2,0,3,0,4,1,0,0,0,6,0,3,18,10,3,0,15,13,3,0,2,33,1,4,24,58,0,35,3,2,1,7,7,1,24,5,6,10,7,19,1,1,4,5,126,1,5,7,20,0,3,3,13,6,0,1,3,0,0,0,0,5,0,16,0,31,0,2359
49005000102,103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,149,7,0,1,0,0,16,2,0,0,0,0,0,1,1,0,0,1,0,9,9,0,0,0,1,0,0,3,1,0,0,3,1,0,0,2,2,0,0,1,0,1,0,0,6,0,2,11,2,3,0,2,6,0,0,2,6,1,0,6,23,0,14,1,1,0,3,3,0,11,1,3,0,1,13,0,0,4,3,43,0,5,2,9,1,0,3,4,4,0,0,7,0,0,2,0,1,0,8,0,19,3,794
49005000201,107,0,0,1,1,1,15,1,0,0,1,0,0,2,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,1,3,0,2,0,1,1,6,0,1,1,1,1,1,1,2,8,0,6,2,1,7,2,1,1,0,4,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3,3,3,1,3,0,1001,8,0,1,0,0,14,3,0,0,2,0,0,12,3,0,0,1,0,18,18,1,0,0,1,0,0,4,0,0,0,0,4,0,0,8,3,0,0,4,0,0,0,0,6,0,2,29,13,8,1,4,8,1,2,1,30,3,2,7,54,0,20,2,3,0,2,2,1,13,7,2,9,5,14,2,1,4,6,103,1,9,5,10,0,0,0,16,4,1,1,1,0,0,0,0,2,0,15,0,29,0,2127
49005000202,226,3,0,0,0,0,8,15,0,0,5,0,2,3,3,0,3,0,0,3,3,0,0,0,9,1,0,2,2,0,0,1,1,0,0,15,0,0,0,1,4,0,0,0,3,0,1,15,5,1,0,0,3,1,1,0,2,4,3,5,19,0,8,1,1,1,1,1,8,3,3,7,2,1,11,0,1,3,6,3,0,3,1,2,0,1,4,5,9,0,0,2,0,0,3,2,2,0,7,0,4,1,1317,17,0,3,0,0,31,11,0,0,3,0,0,31,8,0,0,13,1,35,35,0,0,0,4,0,0,0,1,2,0,3,9,0,0,10,0,0,0,7,0,0,0,0,11,0,6,39,21,5,0,6,38,1,0,0,39,0,5,15,102,0,76,7,3,1,4,4,1,53,13,16,17,18,31,2,3,6,14,186,0,10,3,27,0,0,7,21,9,1,3,8,0,0,2,0,10,0,21,2,60,9,4163
49005000301,119,1,0,0,0,0,4,3,0,0,1,1,0,2,0,0,0,2,0,1,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,3,1,11,0,3,1,0,2,0,0,1,0,0,4,2,2,1,0,0,1,1,2,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,3,2,0,1,2,626,7,0,0,1,1,14,1,0,0,1,0,0,8,3,0,0,1,0,10,10,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,3,0,1,13,10,0,0,3,2,1,0,1,14,1,2,5,20,0,10,0,1,1,0,0,0,12,5,4,5,2,11,0,1,4,3,48,0,4,1,3,1,0,2,5,0,0,0,2,0,0,0,0,2,0,4,1,23,2,1053
49005000302,186,3,0,3,3,3,57,23,0,0,7,1,2,19,5,0,0,4,0,8,8,8,1,0,11,0,0,8,2,0,1,5,2,0,0,3,6,5,0,3,3,0,0,0,18,0,7,22,11,1,0,5,12,4,3,0,6,3,17,11,70,0,15,6,2,5,2,2,14,19,8,26,15,4,21,2,4,6,4,29,1,15,9,2,3,3,1,9,16,2,0,9,0,0,5,2,7,1,16,1,12,6,5726,12,0,1,0,0,38,9,0,0,6,0,1,12,1,0,0,4,0,15,15,2,0,0,3,0,0,2,0,0,0,0,1,0,0,4,1,0,0,1,0,0,0,0,1,0,2,39,11,6,0,7,10,1,0,0,29,0,6,13,58,0,45,0,2,2,2,2,6,26,4,9,12,2,24,0,1,7,10,109,0,5,3,10,0,0,2,13,3,0,3,0,0,0,2,2,3,1,10,0,33,2,2384
