fakeid,GEOID,AFK_h,ALA_h,ALP_h,BDL_h,BGM_h,BNT_h,BRT_h,CDF_h,CEN_h,CHA_h,CHL_h,CLF_h,CLI_h,CMT_h,COA_h,CWH_h,DAN_h,DRA_h,EAG_h,ELK_h,EMT_h,FAR_h,FCS_h,FFD_h,FRR_h,FTH_h,GLA_h,GOS_h,GRL_h,HAR_h,HDT_h,HEB_h,HER_h,HGH_h,HNF_h,HOL_h,HOO_h,HVL_h,IND_h,INT_h,KAY_h,KMS_h,KMT_h,LAY_h,LEH_h,LIN_h,MAP_h,MID_h,MLC_h,MMT_h,MRG_h,MSL_h,MUR_h,MWY_h,NOG_h,NSL_h,OGD_h,OKL_h,ORM_h,PAY_h,PGR_h,PLN_h,PRK_h,PRY_h,PVO_h,PVW_h,ROY_h,RVD_h,RVT_h,SAN_h,SAQ_h,SAR_h,SFK_h,SJC_h,SLC_h,SLM_h,SOG_h,SPV_h,SSL_h,SUN_h,SWE_h,SYR_h,TAY_h,TOO_h,UIN_h,VIN_h,WAT_h,WBG_h,WDL_h,WEB_h,WHT_h,WHV_h,WIL_h,WJC_h,WPT_h,WVC_h,WXC_h,TTL_h,AFK_w,ALA_w,ALP_w,BDL_w,BGM_w,BNT_w,BRT_w,CDF_w,CEN_w,CHA_w,CHL_w,CLF_w,CLI_w,CMT_w,COA_w,CWH_w,DAN_w,DRA_w,EAG_w,ELK_w,EMT_w,FAR_w,FCS_w,FFD_w,FRR_w,FTH_w,GLA_w,GOS_w,GRL_w,HAR_w,HDT_w,HEB_w,HER_w,HGH_w,HNF_w,HOL_w,HOO_w,HVL_w,IND_w,INT_w,KAY_w,KMS_w,KMT_w,LAY_w,LEH_w,LIN_w,MAP_w,MID_w,MLC_w,MMT_w,MRG_w,MSL_w,MUR_w,MWY_w,NOG_w,NSL_w,OGD_w,OKL_w,ORM_w,PAY_w,PGR_w,PLN_w,PRK_w,PRY_w,PVO_w,PVW_w,ROY_w,RVD_w,RVT_w,SAN_w,SAQ_w,SAR_w,SFK_w,SJC_w,SLC_w,SLM_w,SOG_w,SPV_w,SSL_w,SUN_w,SWE_w,SYR_w,TAY_w,TOO_w,UIN_w,VIN_w,WAT_w,WBG_w,WDL_w,WEB_w,WHT_w,WHV_w,WIL_w,WJC_w,WPT_w,WVC_w,WXC_w,TTL_w
0,colSUM,15994,117,4839,8744,10638,20714,213,227,7681,254,4845,14257,11030,430,810,17497,834,24321,21231,2224,765,10730,671,68,4010,2644,735,424,6786,3602,437,9772,28511,9813,409,15143,4325,269,72,80,13912,1138,18682,36266,39091,5538,5653,18523,32277,14832,2036,1130,26968,2960,10130,10504,41369,698,45797,11428,18134,4134,4639,2931,43066,5012,19396,4321,23983,48728,7212,18554,23586,39688,96823,4970,7886,17603,12919,2663,3482,14981,31055,20617,623,6200,4407,161,706,2793,2930,8741,1252,64598,5137,66604,5773,1578649,25624,1724,2420,5803,8582,12336,1508,92,6772,218,1037,16373,3058,89,685,20526,347,47665,4557,306,114,11586,136,111,3895,596,290,67,2486,1676,43,6856,6835,3512,83,11301,657,105,5,8,9022,1428,3892,29825,47477,16100,2497,21517,25758,7300,1369,1916,45608,1529,3205,15308,61255,322,49327,7266,16003,1136,13690,1296,60778,2491,9141,7674,12462,50924,1556,5234,15337,35308,281202,2251,7959,14461,33112,1329,937,4772,20109,10072,315,2151,3871,137,188,2434,425,4545,218,38041,1230,67356,5913,1577805
0,490011001001,0,0,0,2,1,1,0,0,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,2,0,0,0,1,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0,1,2,0,1,0,2,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1,426,1,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,1,0,0,1,4,0,3,0,0,0,0,1,6,0,0,1,2,2,0,1,1,1,14,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,5,1,387
1,490011001002,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,5,0,1,1,2,4,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,303,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,3,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,2,2,1,2,1,0,0,0,4,0,0,1,5,0,4,0,0,0,0,0,10,0,0,1,0,10,1,1,4,1,21,0,2,0,2,1,0,0,2,0,0,0,0,0,0,2,0,0,0,4,0,8,0,585
2,490011001003,3,0,0,1,0,0,0,0,1,0,1,2,2,0,0,2,0,1,2,0,0,1,1,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,2,0,1,3,5,0,0,3,3,0,0,0,3,0,0,0,3,0,4,1,2,1,2,0,6,0,0,1,1,5,1,1,1,2,5,0,0,1,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,6,0,1,0,940,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,2,2,0,0,7,0,0,0,2,0,3,1,0,0,0,0,8,0,1,1,2,4,0,0,0,1,17,0,1,2,3,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,8,0,493
3,490011002001,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,4,0,0,0,1,0,0,1,0,0,5,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,245
4,490011002002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,5,0,0,0,2,0,2,0,0,0,0,0,5,0,0,0,0,3,0,0,0,1,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,324
5,490011002003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,2,1,0,0,1,0,1,0,0,0,3,0,1,2,0,0,0,0,3,0,0,0,0,0,2,3,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,2,2,0,0,3,0,0,2,5,0,2,1,0,0,0,0,6,0,1,0,0,1,0,0,0,1,13,0,1,0,4,0,0,0,2,3,0,0,0,0,0,1,0,0,0,4,0,6,0,584
6,490039601001,0,0,0,1,15,0,0,0,1,0,0,1,2,0,0,0,0,0,3,0,0,2,0,0,4,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,1,9,1,0,0,0,0,0,0,0,1,0,4,0,11,0,0,0,0,3,0,3,0,1,7,1,0,0,0,0,1,1,2,0,1,1,0,0,0,5,0,10,0,0,1,0,0,0,1,2,2,1,0,3,0,313,2,0,0,0,45,1,0,0,3,0,0,9,3,0,0,1,0,2,0,0,0,1,0,0,6,0,0,0,0,2,0,2,4,0,0,1,1,0,0,0,0,0,1,10,2,0,1,3,4,3,0,3,3,0,1,5,32,0,0,1,1,1,0,4,2,0,7,1,2,3,0,2,1,3,34,0,7,1,2,1,0,2,2,0,1,0,0,0,0,1,0,2,0,6,1,10,0,503
7,490039601002,0,0,0,1,30,4,0,0,2,0,0,6,5,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,4,0,1,1,0,0,1,1,0,0,0,3,0,1,12,1,1,0,0,0,0,0,1,1,0,3,1,19,0,2,1,0,4,1,8,0,6,8,1,1,2,1,0,0,1,4,0,0,1,0,2,1,4,2,5,0,0,1,0,0,0,0,5,5,2,1,5,0,621,3,0,0,1,106,1,0,0,1,0,0,17,2,0,0,0,0,7,0,1,0,6,0,0,5,1,0,0,0,0,0,2,0,0,0,2,1,0,0,0,9,0,1,16,2,2,1,4,3,2,0,3,13,0,2,8,60,0,4,2,1,5,0,12,6,3,13,5,2,9,0,1,2,4,58,0,11,3,3,0,0,3,4,1,0,0,2,0,0,0,0,5,1,6,0,15,1,877
8,490039601003,1,0,0,0,11,1,0,0,2,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,6,3,1,0,1,2,0,0,0,3,0,4,0,8,0,1,0,0,1,0,2,1,1,1,0,0,0,0,0,2,1,4,0,1,1,0,0,0,1,1,6,0,0,0,0,0,0,0,1,0,6,0,5,0,213,2,0,0,1,35,2,0,0,1,0,0,7,1,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,1,0,0,7,3,2,1,1,0,1,0,3,6,0,2,1,20,0,2,0,2,1,1,5,3,0,9,1,1,3,0,0,1,1,22,1,1,3,1,2,0,1,0,3,0,1,1,0,0,0,0,2,0,2,0,9,0,350
9,490039602001,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,136,3,0,1,1,69,4,0,0,4,0,0,18,3,0,0,1,0,5,0,0,0,2,1,0,11,0,2,0,0,2,0,2,0,1,0,2,0,0,0,0,3,0,1,11,2,2,0,3,6,2,0,1,13,1,1,4,61,0,1,0,2,0,3,6,12,3,13,5,5,11,0,2,2,4,51,0,9,2,4,1,0,0,1,1,1,1,7,0,0,0,0,0,3,12,0,19,2,885
10,490039602002,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,80,5,0,0,1,45,2,0,0,2,0,1,8,0,0,0,1,0,7,1,0,0,2,0,0,3,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,7,3,1,0,2,4,1,0,2,9,0,1,1,22,0,3,0,1,1,0,5,5,3,7,4,3,7,0,0,0,3,33,1,4,0,3,0,0,4,0,0,0,0,3,0,0,1,0,2,0,4,0,15,1,499
11,490039602003,1,0,0,0,61,1,0,0,1,0,1,3,1,0,0,1,1,2,2,0,0,0,0,0,5,0,0,0,1,11,0,3,0,0,0,1,2,1,0,0,0,1,2,5,1,0,0,3,3,1,0,0,1,0,8,1,34,0,0,0,0,3,0,10,0,4,6,1,0,1,0,0,1,1,2,0,1,1,0,2,2,3,2,1,1,0,0,0,0,0,0,3,5,4,0,3,0,735,8,1,3,2,99,2,0,0,2,0,0,16,2,0,0,4,1,9,0,0,0,2,0,0,3,0,0,0,0,4,0,2,0,1,0,1,1,0,0,0,5,0,1,18,6,0,0,2,5,1,0,2,12,0,2,3,57,0,6,1,3,1,2,8,10,2,14,8,2,5,0,3,1,1,52,0,9,1,6,0,1,4,5,2,1,1,2,0,0,1,0,3,0,8,3,25,1,929
12,490039602004,1,0,0,0,24,2,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,1,6,0,0,4,0,0,0,0,0,0,0,6,0,2,0,1,2,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,2,0,320,4,0,0,0,68,5,0,0,0,0,2,15,1,0,0,1,0,6,2,0,0,0,0,0,6,0,1,0,0,2,0,1,1,0,0,3,0,0,0,0,1,0,0,10,9,1,0,0,2,0,1,6,11,0,1,7,56,0,10,2,3,1,3,10,12,6,6,4,1,8,2,0,0,9,36,0,1,0,8,0,0,3,2,2,0,0,5,0,0,0,0,1,0,3,1,13,1,758
13,490039602005,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,130,4,0,1,0,29,3,0,0,0,0,0,4,1,0,0,1,0,7,1,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,2,2,1,1,1,10,0,0,5,18,0,5,1,1,0,0,5,4,2,0,4,3,3,0,0,0,4,25,0,3,0,6,0,1,1,4,0,0,0,1,0,0,0,0,1,0,1,1,10,1,414
14,490039602006,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,1,0,0,2,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,1,0,0,0,0,153,0,0,0,0,26,2,0,0,0,0,0,6,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,4,2,1,0,1,2,1,0,0,4,0,1,0,17,0,3,0,0,0,0,2,4,0,1,0,0,5,0,0,3,1,17,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,1,0,0,6,1,253
15,490039603011,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,4,0,7,0,0,0,0,0,0,2,0,2,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,240,0,0,0,0,89,0,0,0,4,0,0,15,5,0,0,2,0,10,1,0,0,4,0,0,3,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,4,0,0,11,4,3,0,4,6,2,1,1,14,0,1,3,73,0,7,0,2,0,5,5,19,5,16,7,1,7,0,0,1,4,59,0,6,0,8,0,1,1,5,4,1,0,2,0,0,0,0,7,4,10,1,29,3,944
16,490039603012,1,0,0,0,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,2,0,5,0,1,0,0,0,0,12,3,2,2,1,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,5,0,0,1,1,1,0,0,1,1,0,0,2,1,406,1,0,0,1,29,0,0,0,1,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,3,1,0,7,2,2,0,3,3,0,0,0,10,0,2,0,19,0,5,0,0,1,1,5,5,4,5,3,2,4,2,0,2,3,20,0,1,0,4,0,0,2,0,0,0,0,1,0,0,0,0,3,0,4,0,3,1,380
17,490039603013,0,0,1,0,23,0,0,0,0,0,1,1,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,1,5,3,0,0,0,0,0,2,0,0,0,5,0,9,0,2,0,1,0,1,7,2,0,5,4,0,2,0,2,0,1,0,0,0,2,0,0,0,1,2,1,0,0,1,0,0,0,0,1,2,1,1,0,0,522,0,0,0,1,40,0,0,0,0,0,0,9,3,0,0,3,0,5,3,0,0,3,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,5,3,0,1,3,2,0,1,2,0,3,0,35,0,6,0,3,3,1,4,3,2,7,2,1,2,0,0,1,3,22,0,4,2,5,0,0,0,4,2,0,0,1,0,0,0,0,3,0,6,1,10,1,474
18,490039603014,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,172,3,1,0,0,62,1,0,0,2,0,1,17,1,0,0,0,0,9,1,0,0,0,0,0,2,0,0,0,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,11,4,3,1,5,3,3,2,1,4,0,1,0,41,0,7,1,1,2,1,3,10,5,11,5,3,5,1,0,1,6,35,0,5,3,6,0,3,1,5,4,0,0,2,0,0,0,0,4,2,3,1,6,2,638
19,490039603021,0,0,0,0,9,4,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,2,3,0,2,0,0,0,0,1,1,1,1,0,1,3,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,261,5,0,1,0,95,7,0,0,0,0,1,9,6,0,0,3,0,5,0,0,0,2,0,0,7,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,6,0,0,12,5,1,0,6,4,3,2,0,10,0,2,6,64,0,9,0,2,0,0,5,6,4,7,3,1,5,0,0,4,6,50,0,4,3,7,0,0,6,4,1,0,0,7,0,0,0,0,7,0,9,0,13,5,804
20,490039603022,0,0,0,0,23,1,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,2,1,0,0,3,1,9,0,1,0,0,2,3,8,2,1,3,1,3,0,0,1,0,0,3,0,5,0,0,0,1,2,2,1,1,0,0,0,0,2,0,0,1,3,1,1,0,376,3,0,0,1,77,3,0,0,2,0,0,14,4,0,0,6,0,9,0,0,0,1,0,0,5,0,1,0,0,1,0,3,2,0,0,1,0,0,0,0,3,0,1,12,9,1,0,1,1,0,5,1,8,0,7,8,59,0,5,0,0,0,0,9,4,3,12,6,2,10,0,0,1,6,34,0,1,3,4,1,1,4,5,5,0,0,4,0,0,0,0,10,2,6,1,9,1,762
21,490039603023,4,0,0,3,81,2,0,0,1,0,1,3,2,0,0,1,0,1,1,0,0,2,0,0,4,1,0,0,2,2,0,3,4,1,1,0,4,0,0,0,3,0,0,9,3,1,1,1,3,0,1,3,0,1,12,2,42,0,6,3,1,1,0,9,7,3,7,3,4,2,3,1,1,9,5,1,3,4,0,3,0,3,3,6,0,0,3,0,0,1,0,3,2,3,2,3,0,1262,4,0,0,1,72,3,0,0,1,0,1,11,1,0,0,0,0,6,1,0,0,3,0,0,3,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,1,0,1,14,6,0,0,1,2,2,1,0,8,0,1,8,46,0,6,0,3,1,1,5,8,3,9,2,1,10,1,0,1,4,42,0,6,1,7,0,0,3,5,2,0,0,6,0,0,0,0,7,1,5,1,9,1,706
