SHORTDESC,CODE3
AMERICAN FORK,AFK
ALTA,ALA
ALPINE,ALP
BLUFFDALE (SL CO),BDL
BLUFFDALE (UTAH CO),BDL
BRIGHAM CITY,BGM
BOUNTIFUL,BNT
BRIGHTON,BRT
CEDAR FORT,CDF
CENTERVILLE,CEN
CHARLESTON,CHA
CEDAR HILLS,CHL
CLEARFIELD,CLF
CLINTON,CLI
COPPERTON METRO TOWNSHIP,CMT
COALVILLE,COA
COTTONWOOD HEIGHTS,CWH
DANIEL,DAN
DRAPER CITY (SL CO),DRA
DRAPER CITY (UTAH CO),DRA
EAGLE MOUNTAIN,EAG
ELK RIDGE,ELK
EMIGRATION CANYON METRO TOWNSHIP,EMT
FARMINGTON,FAR
FRANCIS,FCS
FAIRFIELD,FFD
FARR WEST CITY,FRR
FRUIT HEIGHTS,FTH
GENOLA,GLA
GOSHEN,GOS
GRANTSVILLE,GRL
HARRISVILLE,HAR
HIDEOUT (SUMMIT),HDT
HIDEOUT (WASATCH),HDT
HEBER CITY,HEB
HERRIMAN TOWN,HER
HIGHLAND,HGH
HENEFER,HNF
CITY OF HOLLADAY,HOL
HOOPER,HOO
HUNTSVILLE,HVL
INDEPENDENCE,IND
INTERLAKEN TOWN,INT
KAYSVILLE,KAY
KAMAS,KMS
KEARNS METRO TOWNSHIP,KMT
LAYTON,LAY
LEHI,LEH
LINDON,LIN
MAPLETON,MAP
MIDVALE,MID
MILLCREEK,MLC
MAGNA METRO TOWNSHIP,MMT
MORGAN,MRG
MARRIOTT-SLATERVILLE CITY,MSL
MURRAY,MUR
MIDWAY,MWY
NORTH OGDEN CITY,NOG
CITY OF NORTH SALT LAKE,NSL
OGDEN CITY,OGD
OAKLEY,OKL
OREM,ORM
PAYSON,PAY
PLEASANT GROVE,PGR
PLAIN CITY,PLN
PARK CITY (SUMMIT CO),PRK
PARK CITY (WASATCH CO),PRK
PERRY CITY,PRY
PROVO,PVO
PLEASANT VIEW,PVW
ROY CITY,ROY
RIVERDALE,RVD
RIVERTON,RVT
SANDY CITY,SAN
SANTAQUIN CITY (UTAH CO),SAQ
SARATOGA SPRINGS,SAR
SPANISH FORK,SFK
SOUTH JORDAN,SJC
SALT LAKE CITY,SLC
SALEM,SLM
SOUTH OGDEN,SOG
SPRINGVILLE,SPV
SOUTH SALT LAKE CITY,SSL
SUNSET,SUN
SOUTH WEBER,SWE
SYRACUSE,SYR
TAYLORSVILLE CITY,TAY
TOOELE,TOO
UINTAH,UIN
VINEYARD,VIN
WASHINGTON TERRACE,WAT
WALLSBURG,WBG
WOODLAND HILLS,WDL
WEST BOUNTIFUL,WEB
WHITE CITY METRO TOWNSHIP,WHT
WEST HAVEN,WHV
WILLARD CITY,WIL
WEST JORDAN CITY,WJC
WEST POINT,WPT
WEST VALLEY CITY,WVC
WOODS CROSS CITY,WXC
