,blockG,BE_H,CA_H,DA_H,JU_H,MN_H,SL_H,SU_H,TU_H,WA_H,WB_H,TTL_H,BE_W,CA_W,DA_W,JU_W,MN_W,SL_W,SU_W,TU_W,WA_W,WB_W,TTL_W
38,39607021,260.0,40.0,16.0,0.0,0.0,22.0,4.0,2.0,2.0,70.0,425.0,276,64,72,0,2,146,6,8,2,136,763
39,39607022,63.0,16.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,16.0,115.0,231,45,60,0,2,112,3,6,0,142,632
40,39608011,44.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,9.0,70.0,85,20,34,0,1,100,5,2,0,127,409
41,39608012,54.0,7.0,12.0,0.0,1.0,4.0,0.0,0.0,0.0,40.0,121.0,197,42,104,0,1,167,5,5,0,263,837
42,39608013,129.0,19.0,18.0,0.0,2.0,11.0,0.0,4.0,1.0,76.0,274.0,313,63,123,0,4,221,3,7,7,370,1179
43,39608021,599.0,90.0,52.0,0.0,3.0,48.0,3.0,17.0,2.0,161.0,1026.0,314,52,78,0,1,175,4,3,3,228,920
44,39608022,46.0,8.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,18.0,83.0,253,50,56,0,0,144,1,3,0,197,751
45,39608023,122.0,12.0,15.0,0.0,1.0,10.0,2.0,3.0,1.0,39.0,221.0,316,57,88,1,0,163,5,5,6,207,902
46,50001011,11.0,630.0,14.0,0.0,1.0,24.0,1.0,6.0,1.0,8.0,715.0,37,579,30,1,0,107,4,0,0,37,832
47,50001012,18.0,478.0,8.0,1.0,0.0,15.0,1.0,5.0,2.0,7.0,547.0,26,526,27,0,0,105,4,4,3,38,787
48,50001013,7.0,266.0,6.0,1.0,0.0,7.0,2.0,1.0,0.0,1.0,304.0,24,488,23,0,0,112,4,3,2,33,740
49,50001021,1.0,119.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,125.0,29,225,18,0,0,71,1,5,2,27,412
50,50001022,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,27,213,21,0,0,59,5,2,2,23,382
51,50002011,4.0,160.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,5.0,189.0,28,915,39,1,2,157,3,3,8,59,1284
52,50002012,37.0,687.0,12.0,0.0,4.0,19.0,4.0,5.0,1.0,19.0,812.0,26,595,25,0,1,112,0,3,3,42,843
53,50002021,1.0,117.0,8.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,136.0,15,493,24,0,0,93,2,2,4,39,715
54,50002022,27.0,618.0,48.0,0.0,1.0,38.0,9.0,4.0,19.0,33.0,820.0,34,943,54,0,0,168,4,12,5,67,1385
55,50002023,17.0,205.0,8.0,0.0,0.0,9.0,5.0,8.0,1.0,16.0,280.0,25,706,28,0,1,130,4,2,3,41,996
56,50002024,6.0,57.0,6.0,0.0,1.0,3.0,0.0,0.0,2.0,4.0,81.0,26,726,37,0,0,134,2,4,3,50,1067
57,50003001,22.0,430.0,14.0,0.0,1.0,10.0,0.0,3.0,1.0,19.0,514.0,30,320,23,0,0,65,1,0,1,23,501
58,50003002,5.0,81.0,4.0,0.0,0.0,3.0,1.0,2.0,0.0,6.0,103.0,23,361,22,0,0,69,2,1,0,26,530
59,50003003,153.0,2786.0,94.0,2.0,3.0,124.0,13.0,17.0,14.0,130.0,3452.0,42,640,34,0,1,110,2,2,2,40,954
60,50003004,75.0,1986.0,45.0,1.0,3.0,33.0,11.0,9.0,4.0,73.0,2283.0,59,1002,57,0,0,173,1,3,3,67,1452
61,50004011,218.0,2869.0,201.0,3.0,10.0,278.0,28.0,48.0,27.0,190.0,4094.0,44,738,52,1,0,208,9,7,3,81,1247
62,50004012,37.0,997.0,19.0,1.0,2.0,35.0,2.0,10.0,5.0,22.0,1159.0,24,516,25,0,1,123,4,2,2,41,800
63,50004021,6.0,109.0,5.0,0.0,0.0,14.0,4.0,0.0,0.0,1.0,141.0,31,697,38,1,0,146,12,4,7,41,1051
64,50004022,2.0,119.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,132.0,26,533,33,1,1,137,7,2,1,42,848
65,50004031,8.0,191.0,1.0,2.0,2.0,5.0,1.0,1.0,0.0,3.0,220.0,30,611,20,0,0,95,4,3,0,43,860
66,50004032,55.0,1176.0,41.0,0.0,2.0,56.0,8.0,12.0,2.0,50.0,1446.0,26,516,29,0,0,93,7,1,2,43,754
67,50004033,5.0,271.0,5.0,1.0,0.0,8.0,2.0,4.0,1.0,3.0,304.0,22,471,29,0,0,63,3,3,3,27,667
68,50004034,2.0,64.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,78.0,28,475,24,0,0,69,5,2,1,29,678
69,50005011,8.0,163.0,4.0,1.0,1.0,14.0,1.0,3.0,3.0,5.0,221.0,32,418,22,0,0,76,4,0,4,26,634
70,50005012,29.0,675.0,27.0,1.0,1.0,25.0,2.0,5.0,1.0,5.0,796.0,31,451,21,0,0,85,3,4,1,22,672
71,50005013,33.0,821.0,14.0,0.0,1.0,28.0,2.0,11.0,2.0,9.0,950.0,29,525,27,0,1,117,2,3,0,30,787
72,50005014,23.0,442.0,5.0,0.0,0.0,9.0,1.0,2.0,2.0,4.0,500.0,21,370,24,0,0,65,2,3,3,30,567
73,50005021,91.0,1252.0,98.0,1.0,4.0,156.0,15.0,24.0,19.0,62.0,1955.0,74,1227,84,3,0,286,6,11,12,110,1977
74,50005022,115.0,1835.0,67.0,2.0,9.0,81.0,15.0,19.0,12.0,71.0,2390.0,47,823,54,1,0,181,3,5,4,69,1287
75,50006001,109.0,757.0,101.0,0.0,9.0,176.0,26.0,18.0,14.0,105.0,1489.0,8,167,14,0,0,30,5,2,1,18,276
76,50006002,79.0,677.0,75.0,4.0,0.0,156.0,21.0,22.0,17.0,95.0,1418.0,11,285,28,0,1,68,2,3,1,24,474
77,50006003,21.0,273.0,26.0,0.0,2.0,44.0,3.0,2.0,1.0,31.0,455.0,3,116,6,0,0,33,0,0,0,13,191
78,50006004,3.0,20.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0,4.0,42.0,13,235,17,0,0,53,2,6,1,25,402
79,50006005,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,10,270,23,0,0,64,2,1,2,25,446
80,50006006,0.0,17.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,26.0,20,388,32,0,0,91,6,5,2,39,677
81,50007011,0.0,53.0,2.0,0.0,0.0,6.0,1.0,3.0,2.0,3.0,73.0,24,491,23,0,1,87,2,1,5,30,703
82,50007012,1.0,104.0,12.0,0.0,0.0,11.0,2.0,4.0,1.0,3.0,150.0,23,693,34,3,0,121,2,4,2,44,992
83,50007013,36.0,579.0,23.0,0.0,4.0,29.0,2.0,12.0,5.0,15.0,754.0,5,184,13,0,0,26,1,0,2,11,258
84,50007021,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0,22,2,0,0,4,0,0,0,2,34
85,50007022,1.0,49.0,1.0,0.0,0.0,6.0,1.0,2.0,1.0,1.0,67.0,10,171,24,1,0,54,1,2,4,26,342
86,50007023,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5,132,14,2,0,44,5,2,1,14,260
87,50008001,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18,469,33,0,1,98,6,5,2,36,735
88,50008002,5.0,67.0,6.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,101.0,15,309,26,0,1,66,3,6,5,32,511
89,50008003,171.0,3701.0,167.0,1.0,21.0,248.0,25.0,55.0,9.0,145.0,4935.0,13,247,17,0,1,56,3,1,3,18,391
90,50008004,0.0,32.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,39.0,17,323,23,0,0,75,3,4,2,34,521
91,50009001,5.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,27.0,27,528,52,0,3,117,5,3,7,45,871
92,50009002,3.0,54.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,69.0,12,284,23,0,2,65,0,0,2,32,463
93,50009003,22.0,290.0,32.0,0.0,2.0,49.0,2.0,10.0,4.0,29.0,486.0,12,255,18,0,0,62,3,2,3,22,402
94,50010011,0.0,30.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,36.0,27,590,43,0,0,129,6,8,1,57,923
95,50010012,9.0,74.0,11.0,0.0,1.0,2.0,1.0,1.0,0.0,4.0,111.0,30,486,31,0,0,96,6,6,1,41,754
96,50010021,62.0,1055.0,51.0,3.0,4.0,61.0,7.0,11.0,3.0,31.0,1377.0,12,255,12,2,0,39,2,1,0,15,367
97,50010022,34.0,821.0,22.0,1.0,1.0,45.0,8.0,10.0,2.0,23.0,1035.0,18,269,28,1,0,51,3,1,1,23,427
98,50010023,26.0,568.0,26.0,1.0,1.0,30.0,6.0,8.0,6.0,28.0,755.0,41,671,48,1,1,143,4,3,2,55,1075
99,50010024,26.0,524.0,22.0,0.0,2.0,29.0,2.0,3.0,2.0,21.0,668.0,23,335,20,2,0,63,4,0,0,30,526
100,50011011,99.0,1065.0,76.0,0.0,6.0,146.0,15.0,33.0,9.0,74.0,1680.0,67,778,58,1,0,183,4,6,4,52,1239
101,50011012,5.0,59.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,78.0,28,383,26,0,0,73,5,1,2,25,586
102,50011013,55.0,785.0,30.0,0.0,6.0,38.0,5.0,24.0,6.0,30.0,1052.0,41,700,35,1,0,129,5,9,4,49,1034
103,50011021,2.0,106.0,7.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,127.0,28,614,38,1,2,124,1,3,5,35,910
104,50011022,61.0,1687.0,73.0,0.0,4.0,131.0,9.0,5.0,1.0,37.0,2064.0,26,496,20,1,0,101,4,1,3,34,732
105,50011023,1.0,91.0,7.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,120.0,47,706,29,3,0,121,6,2,1,32,1008
106,50012011,13.0,157.0,4.0,0.0,0.0,12.0,0.0,0.0,1.0,14.0,212.0,43,710,41,0,1,157,8,4,3,53,1094
107,50012012,27.0,187.0,9.0,2.0,0.0,24.0,4.0,1.0,2.0,18.0,295.0,32,538,21,0,1,96,2,2,2,34,783
108,50012013,6.0,162.0,5.0,0.0,0.0,9.0,1.0,2.0,0.0,11.0,205.0,23,431,27,0,0,88,1,0,1,34,656
109,50012021,9.0,125.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,164.0,52,671,34,1,0,147,4,0,5,52,1042
110,50012022,71.0,1119.0,25.0,0.0,3.0,24.0,7.0,6.0,6.0,42.0,1356.0,115,1491,96,5,3,248,15,8,7,123,2239
111,50013001,21.0,299.0,13.0,0.0,0.0,15.0,3.0,3.0,1.0,25.0,395.0,86,580,40,0,2,138,5,6,2,69,1003
112,50013002,22.0,316.0,15.0,0.0,0.0,16.0,4.0,4.0,2.0,23.0,410.0,94,659,46,0,2,172,5,8,4,73,1144
113,50013003,1.0,53.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,61.0,69,540,33,0,2,137,2,1,6,55,905
114,50014011,21.0,332.0,2.0,1.0,0.0,11.0,2.0,5.0,5.0,9.0,396.0,33,555,34,0,5,146,2,5,2,41,888
115,50014012,16.0,166.0,3.0,0.0,4.0,5.0,2.0,4.0,1.0,8.0,218.0,57,681,42,0,6,150,4,2,3,51,1066
116,50014013,5.0,53.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,7.0,70.0,27,350,27,0,2,67,2,0,3,37,562
117,50014021,56.0,1231.0,15.0,0.0,0.0,43.0,10.0,8.0,1.0,166.0,1544.0,35,420,44,0,1,142,4,2,3,38,737
118,50014022,8.0,158.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,177.0,41,515,42,0,3,136,4,5,2,54,846
119,50014023,9.0,231.0,4.0,0.0,0.0,8.0,0.0,2.0,0.0,12.0,274.0,32,321,25,0,2,100,3,1,1,39,555
120,50015001,4.0,96.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,3.0,115.0,19,296,17,0,1,98,1,3,4,41,525
121,50015002,0.0,50.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,52.0,29,303,19,0,1,94,6,3,4,40,547
122,59801001,6.0,141.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,163.0,9,51,10,0,1,69,7,4,5,19,212
123,70001001,0.0,1.0,8.0,5.0,0.0,35.0,4.0,0.0,2.0,9.0,424.0,1,7,13,1,0,120,6,2,9,12,696
124,70001002,0.0,3.0,6.0,6.0,0.0,21.0,5.0,2.0,2.0,11.0,505.0,4,21,19,0,0,194,10,6,4,21,1129
125,70002001,7.0,15.0,13.0,17.0,3.0,68.0,15.0,9.0,8.0,13.0,1278.0,5,14,15,2,0,137,5,4,7,22,734
126,70002002,0.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,2.0,0.0,107.0,2,8,7,1,0,121,5,2,5,8,634
127,70002003,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,98.0,4,16,10,3,0,101,0,4,3,19,650
128,70003001,4.0,9.0,7.0,1.0,0.0,30.0,3.0,2.0,1.0,8.0,692.0,0,7,5,2,0,92,4,1,2,8,466
129,70003002,1.0,1.0,1.0,0.0,0.0,11.0,3.0,1.0,0.0,2.0,199.0,1,12,10,1,0,87,2,1,0,13,528
130,70003003,8.0,13.0,17.0,1.0,1.0,78.0,14.0,10.0,9.0,17.0,1344.0,1,9,7,1,0,69,3,0,4,13,426
131,70003004,6.0,7.0,6.0,4.0,0.0,30.0,4.0,7.0,6.0,7.0,456.0,2,10,7,1,0,75,3,2,6,13,506
132,70005001,3.0,1.0,8.0,9.0,0.0,50.0,9.0,2.0,5.0,2.0,1378.0,3,17,21,1,0,185,8,9,4,21,1038
133,70005002,2.0,8.0,1.0,8.0,0.0,12.0,4.0,0.0,0.0,1.0,416.0,7,13,26,1,0,208,4,2,5,16,1183
134,70006001,0.0,4.0,3.0,2.0,1.0,13.0,5.0,0.0,1.0,3.0,352.0,2,17,14,0,1,104,5,3,4,6,586
135,70006002,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,40.0,0,6,11,0,0,67,2,3,3,15,435
136,70006003,2.0,2.0,3.0,0.0,0.0,13.0,2.0,2.0,4.0,3.0,417.0,4,10,15,1,0,82,6,3,0,10,524
137,99601001,0.0,0.0,2.0,0.0,2.0,12.0,3.0,0.0,0.0,2.0,215.0,2,14,17,0,0,50,2,1,2,13,281
138,111251021,1.0,2.0,60.0,0.0,3.0,8.0,0.0,0.0,0.0,8.0,88.0,7,9,313,1,4,244,2,6,2,109,731
139,111251022,3.0,1.0,110.0,0.0,4.0,49.0,2.0,0.0,1.0,38.0,228.0,13,16,424,1,2,363,2,3,0,147,1011
140,111251031,5.0,12.0,181.0,0.0,3.0,7.0,3.0,3.0,4.0,94.0,332.0,5,13,591,0,7,380,15,4,3,460,1526
141,111251032,28.0,21.0,488.0,0.0,25.0,112.0,4.0,8.0,5.0,295.0,1043.0,7,6,402,1,3,263,2,3,3,315,1050
142,111251041,10.0,8.0,95.0,0.0,5.0,55.0,5.0,2.0,2.0,73.0,282.0,7,10,319,0,7,316,3,2,2,292,999
143,111251042,1.0,1.0,10.0,0.0,1.0,4.0,0.0,1.0,0.0,10.0,30.0,9,10,232,0,6,232,6,2,1,196,720
144,111251043,4.0,0.0,41.0,0.0,9.0,13.0,2.0,0.0,0.0,49.0,121.0,9,9,303,0,9,267,5,2,1,271,920
145,111252001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7,7,74,0,1,81,1,0,2,49,242
146,111252002,84.0,26.0,995.0,0.0,36.0,199.0,11.0,66.0,6.0,761.0,2280.0,4,9,142,0,1,195,9,2,2,79,485
147,111253011,3.0,8.0,166.0,0.0,2.0,44.0,3.0,2.0,2.0,129.0,375.0,6,4,217,0,2,169,1,2,2,165,597
148,111253012,2.0,1.0,79.0,0.0,2.0,8.0,1.0,0.0,1.0,52.0,150.0,8,12,277,0,3,192,2,3,1,238,774
149,111253013,4.0,4.0,145.0,0.0,3.0,11.0,1.0,0.0,2.0,86.0,263.0,5,7,217,0,2,165,5,3,1,196,630
150,111253014,7.0,1.0,95.0,0.0,2.0,15.0,4.0,1.0,0.0,82.0,215.0,6,9,220,0,1,145,4,0,0,176,604
151,111253031,6.0,5.0,90.0,0.0,0.0,36.0,2.0,2.0,0.0,76.0,235.0,11,16,539,0,3,375,5,10,1,393,1425
152,111253032,6.0,7.0,145.0,0.0,0.0,39.0,2.0,5.0,0.0,93.0,309.0,8,14,739,1,16,550,5,7,4,597,2023
153,111253033,7.0,9.0,128.0,0.0,1.0,26.0,2.0,2.0,0.0,108.0,292.0,5,20,707,2,6,495,10,7,3,517,1862
154,111253041,0.0,4.0,25.0,0.0,1.0,7.0,2.0,1.0,2.0,15.0,58.0,10,10,273,0,1,207,3,4,2,236,779
155,111253042,9.0,30.0,468.0,1.0,4.0,57.0,1.0,9.0,1.0,303.0,923.0,8,12,421,0,3,299,5,10,1,373,1196
156,111253043,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,7,4,169,0,0,131,4,3,1,159,500
157,111253051,31.0,48.0,287.0,1.0,3.0,113.0,7.0,26.0,10.0,219.0,807.0,14,22,485,0,5,359,5,6,3,404,1356
158,111253052,0.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,11.0,6,5,286,1,2,212,3,3,1,245,795
159,111253053,2.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,19.0,7,9,297,0,5,213,4,1,0,250,824
160,111254011,27.0,48.0,560.0,0.0,10.0,114.0,11.0,31.0,8.0,280.0,1165.0,13,14,731,0,6,458,6,13,2,411,1735
161,111254012,7.0,2.0,190.0,1.0,2.0,24.0,3.0,4.0,0.0,80.0,332.0,26,20,1108,1,6,725,8,15,4,618,2643
162,111254013,9.0,10.0,271.0,0.0,3.0,18.0,2.0,1.0,0.0,63.0,396.0,13,13,571,0,4,404,4,4,1,327,1410
163,111254031,10.0,10.0,386.0,0.0,4.0,59.0,2.0,3.0,2.0,162.0,672.0,21,19,853,0,8,600,12,14,5,424,2044
164,111254032,3.0,3.0,141.0,0.0,2.0,42.0,3.0,6.0,1.0,40.0,260.0,14,20,826,2,3,575,5,5,4,355,1896
165,111254033,6.0,14.0,439.0,0.0,5.0,71.0,3.0,3.0,6.0,166.0,751.0,16,16,711,0,4,525,4,8,0,332,1696
166,111254051,8.0,2.0,179.0,0.0,4.0,22.0,2.0,4.0,1.0,100.0,331.0,15,22,871,0,8,730,10,7,6,383,2149
167,111254052,17.0,12.0,449.0,0.0,3.0,71.0,13.0,4.0,0.0,249.0,846.0,16,26,856,0,10,639,10,12,5,368,2031
168,111254061,2.0,3.0,122.0,0.0,0.0,6.0,0.0,0.0,0.0,30.0,169.0,10,19,640,0,3,373,3,4,4,256,1373
169,111254062,10.0,13.0,605.0,1.0,3.0,117.0,7.0,5.0,7.0,252.0,1094.0,26,18,1001,1,5,717,6,16,1,423,2308
170,111255011,10.0,6.0,160.0,0.0,1.0,23.0,0.0,1.0,1.0,86.0,293.0,11,11,557,0,0,380,3,1,1,366,1384
171,111255012,5.0,2.0,141.0,0.0,0.0,10.0,1.0,1.0,0.0,35.0,199.0,5,6,267,0,2,198,3,5,5,177,701
172,111255013,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,7,10,290,1,0,226,1,1,1,181,743
173,111255021,19.0,10.0,177.0,0.0,3.0,43.0,4.0,2.0,3.0,125.0,416.0,13,12,332,1,4,225,5,5,0,197,835
174,111255022,4.0,8.0,106.0,0.0,4.0,32.0,1.0,4.0,4.0,80.0,260.0,11,14,393,0,5,231,3,1,0,218,926
175,111255023,0.0,0.0,14.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,22.0,7,13,321,0,2,224,3,1,2,201,818
176,111255031,2.0,3.0,208.0,0.0,2.0,29.0,4.0,1.0,1.0,60.0,316.0,11,15,561,0,2,369,6,3,2,258,1278
177,111255032,1.0,0.0,48.0,0.0,1.0,17.0,1.0,0.0,0.0,20.0,91.0,5,14,473,1,5,315,9,1,2,222,1098
178,111256001,166.0,70.0,1006.0,0.0,14.0,237.0,11.0,32.0,2.0,1225.0,2799.0,2,7,64,1,1,117,4,0,3,42,266
179,111257011,182.0,121.0,2836.0,0.0,39.0,437.0,31.0,24.0,14.0,2335.0,6159.0,12,13,350,0,1,287,6,5,2,216,937
180,111257012,15.0,7.0,582.0,0.0,5.0,97.0,5.0,6.0,0.0,199.0,941.0,5,10,264,0,1,211,4,4,1,134,658
181,111257021,0.0,2.0,76.0,0.0,2.0,4.0,0.0,0.0,0.0,27.0,116.0,5,5,170,0,2,120,1,2,0,113,444
182,111257022,4.0,5.0,185.0,1.0,2.0,12.0,2.0,0.0,0.0,77.0,308.0,6,6,315,0,2,177,1,4,1,171,711
183,111257023,22.0,40.0,614.0,1.0,0.0,108.0,5.0,11.0,5.0,340.0,1236.0,12,7,304,0,5,179,2,0,1,163,698
184,111258011,115.0,95.0,2021.0,1.0,51.0,388.0,16.0,43.0,19.0,1072.0,4030.0,9,16,539,0,1,347,6,6,1,228,1216
185,111258012,6.0,9.0,133.0,0.0,1.0,23.0,0.0,9.0,1.0,53.0,258.0,2,2,164,0,0,100,2,0,0,85,378
186,111258013,13.0,20.0,344.0,0.0,10.0,80.0,2.0,7.0,3.0,185.0,702.0,3,12,323,0,3,200,4,3,2,129,718
187,111258014,13.0,18.0,150.0,0.0,6.0,35.0,3.0,4.0,0.0,79.0,333.0,6,15,393,1,3,269,2,1,4,168,897
188,111258041,7.0,6.0,123.0,0.0,7.0,21.0,2.0,3.0,0.0,67.0,240.0,12,11,335,0,3,304,5,3,5,200,933
