,blockG,BE_H,CA_H,DA_H,JU_H,MN_H,SL_H,SU_H,TU_H,WA_H,WB_H,TTL_H,BE_W,CA_W,DA_W,JU_W,MN_W,SL_W,SU_W,TU_W,WA_W,WB_W,TTL_W
0,11001001,4.0,8.0,5.0,4.0,1.0,21.0,1.0,0.0,1.0,6.0,369.0,0,0,0,0,1,20,0,1,1,3,233
1,11001002,2.0,2.0,4.0,1.0,0.0,10.0,1.0,0.0,1.0,3.0,240.0,0,8,4,0,0,63,3,0,0,7,611
2,11001003,4.0,6.0,13.0,6.0,3.0,63.0,3.0,3.0,3.0,6.0,941.0,0,2,11,0,0,52,1,0,1,3,482
3,11002001,1.0,2.0,0.0,3.0,0.0,8.0,2.0,2.0,0.0,0.0,356.0,0,1,0,0,0,22,1,1,2,2,239
4,11002002,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,27.0,1,2,6,1,0,25,2,0,0,3,281
5,11002003,4.0,3.0,0.0,1.0,1.0,14.0,3.0,1.0,1.0,0.0,671.0,0,4,3,0,1,49,3,3,0,4,446
6,39601001,175.0,74.0,20.0,0.0,1.0,5.0,1.0,1.0,0.0,52.0,335.0,207,31,25,0,3,75,2,1,0,45,418
7,39601002,302.0,151.0,40.0,0.0,3.0,24.0,2.0,4.0,2.0,85.0,627.0,306,48,47,1,0,125,4,5,3,75,658
8,39601003,85.0,16.0,6.0,0.0,0.0,23.0,1.0,6.0,0.0,20.0,167.0,134,21,21,2,0,50,1,0,1,35,289
9,39602001,81.0,17.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,7.0,111.0,342,80,42,0,1,85,1,2,2,60,657
10,39602002,61.0,10.0,4.0,0.0,0.0,3.0,1.0,1.0,0.0,10.0,90.0,192,54,23,0,0,71,1,5,1,54,428
11,39602003,468.0,89.0,23.0,0.0,2.0,21.0,3.0,5.0,0.0,68.0,694.0,366,92,48,0,2,140,3,3,2,108,806
12,39602004,278.0,52.0,19.0,0.0,1.0,10.0,1.0,4.0,2.0,35.0,406.0,279,84,38,0,2,101,1,5,1,74,620
13,39602005,80.0,21.0,7.0,0.0,0.0,5.0,2.0,0.0,0.0,19.0,144.0,164,53,17,0,1,51,1,1,1,44,352
14,39602006,65.0,6.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,80.0,128,39,16,1,0,52,1,2,1,48,304
15,39603001,158.0,30.0,4.0,0.0,1.0,9.0,3.0,3.0,0.0,15.0,233.0,379,82,56,0,0,105,2,4,3,90,766
16,39603002,244.0,33.0,5.0,1.0,0.0,10.0,1.0,3.0,4.0,11.0,337.0,373,85,59,1,1,94,0,3,2,106,768
17,39603003,351.0,44.0,18.0,0.0,1.0,14.0,4.0,1.0,1.0,24.0,479.0,227,35,21,1,0,69,1,1,0,43,419
18,39603004,330.0,50.0,14.0,0.0,2.0,13.0,3.0,3.0,0.0,25.0,466.0,423,90,46,1,1,119,1,1,3,92,817
19,39603005,964.0,273.0,30.0,0.0,9.0,63.0,10.0,7.0,3.0,109.0,1530.0,655,122,67,1,1,179,7,7,2,121,1219
20,39603006,143.0,13.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,162.0,325,37,30,1,0,74,3,1,4,61,553
21,39604001,778.0,225.0,41.0,0.0,2.0,87.0,5.0,16.0,1.0,260.0,1442.0,401,59,56,0,0,126,6,3,1,130,839
22,39604002,117.0,19.0,12.0,0.0,0.0,8.0,0.0,3.0,1.0,28.0,191.0,392,63,61,2,1,145,3,6,6,112,841
23,39604003,558.0,157.0,79.0,0.0,2.0,131.0,12.0,47.0,9.0,210.0,1286.0,331,46,54,0,1,122,4,4,1,103,712
24,39605001,366.0,76.0,50.0,0.0,1.0,16.0,3.0,2.0,3.0,84.0,619.0,329,60,66,0,1,140,3,2,9,146,812
25,39605002,668.0,148.0,71.0,1.0,0.0,46.0,5.0,5.0,6.0,200.0,1185.0,251,45,36,0,0,100,4,0,2,108,589
26,39605003,53.0,10.0,9.0,0.0,1.0,8.0,1.0,0.0,1.0,30.0,118.0,256,58,51,0,1,117,3,2,3,140,678
27,39605004,1017.0,106.0,114.0,0.0,3.0,176.0,10.0,13.0,9.0,321.0,1858.0,246,42,37,1,0,91,3,2,4,100,562
28,39606011,78.0,14.0,13.0,0.0,0.0,6.0,2.0,2.0,0.0,27.0,146.0,185,25,42,0,0,78,0,3,3,104,471
29,39606012,694.0,179.0,55.0,0.0,6.0,22.0,6.0,6.0,3.0,301.0,1283.0,208,43,52,0,0,116,1,1,3,118,571
30,39606013,188.0,15.0,16.0,0.0,3.0,11.0,0.0,2.0,0.0,31.0,283.0,143,25,29,0,0,55,2,1,0,73,349
31,39606014,262.0,27.0,11.0,0.0,1.0,8.0,1.0,4.0,0.0,36.0,364.0,182,31,36,0,3,91,0,3,0,96,467
32,39606021,41.0,11.0,3.0,0.0,1.0,3.0,2.0,0.0,0.0,8.0,74.0,250,52,36,0,1,74,4,3,0,99,562
33,39606022,108.0,28.0,3.0,0.0,0.0,2.0,8.0,6.0,2.0,73.0,238.0,226,48,37,0,0,76,4,4,4,94,515
34,39606023,101.0,19.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,18.0,155.0,117,35,30,0,0,46,0,0,0,63,312
35,39607011,147.0,25.0,1.0,0.0,0.0,6.0,0.0,3.0,0.0,17.0,209.0,253,36,52,1,2,113,4,5,0,110,615
36,39607012,560.0,139.0,38.0,1.0,4.0,31.0,4.0,9.0,1.0,151.0,973.0,415,71,94,0,2,183,4,3,1,244,1089
37,39607013,246.0,69.0,19.0,0.0,1.0,20.0,4.0,5.0,0.0,50.0,439.0,414,66,73,0,0,153,4,5,1,233,1016
